trial_index,time_elapsed,rt,response,avg_frame_time,center_x,center_y,note,correct
264,306773,"[417,441]","[""a"",""s""]",16.6689,250,150,1100,TRUE
265,307779,"[455,455,478]","[""s"",""d"",""f""]",16.66784746,250,150,111,TRUE
266,308788,"[489,506,529]","[""f"",""d"",""s""]",16.66642373,250,150,111,TRUE
267,309789,[480],"[""a""]",16.66868333,250,150,1000,TRUE
268,310796,"[463,481,567,591]","[""a"",""d"",""s"",""f""]",16.66681356,250,150,1101,FALSE
269,311803,[649],"[""s""]",16.66618644,250,150,100,TRUE
270,312806,"[504,504]","[""s"",""d""]",16.66826667,250,150,110,TRUE
271,313812,"[479,502]","[""d"",""f""]",16.66537288,250,150,11,TRUE
272,314819,[416],"[""s""]",16.66691525,250,150,100,TRUE
273,315823,"[521,546,546]","[""f"",""a"",""d""]",16.667,250,150,1011,TRUE
274,316827,[518],"[""d""]",16.66611864,250,150,10,TRUE
275,317837,"[508,529,553]","[""f"",""d"",""a""]",16.66677966,250,150,1011,TRUE
276,318839,"[537,537]","[""s"",""f""]",16.66591667,250,150,101,TRUE
277,319844,"[438,460,484]","[""d"",""f"",""s""]",16.6669322,250,150,111,TRUE
278,320852,"[513,513,536]","[""a"",""f"",""d""]",16.668,250,150,1011,TRUE
279,321856,"[450,450]","[""a"",""s""]",16.66696667,250,150,1100,TRUE
280,322859,"[445,468]","[""a"",""s""]",16.66720339,250,150,1100,TRUE
281,323867,"[553,577,641]","[""a"",""s"",""f""]",16.66769492,250,150,1101,TRUE
282,324873,"[536,536]","[""s"",""d""]",16.66556667,250,150,110,TRUE
283,325876,"[452,495]","[""s"",""d""]",16.66652542,250,150,110,TRUE
284,326884,[503],"[""s""]",16.66677966,250,150,100,TRUE
285,327890,"[505,505,527]","[""a"",""f"",""s""]",16.6666,250,150,1101,TRUE
286,328891,"[497,498,521]","[""s"",""f"",""d""]",16.66674576,250,150,111,TRUE
287,329900,"[441,441,464]","[""a"",""d"",""s""]",16.66608475,250,150,1110,TRUE
288,330906,"[433,456]","[""f"",""a""]",16.66718644,250,150,1001,TRUE
289,331907,"[466,467,491,642]","[""a"",""f"",""s"",""s""]",16.66608333,250,150,101,FALSE
290,332915,[641],"[""s""]",16.66727119,250,150,100,TRUE
291,333916,"[491,491]","[""d"",""f""]",16.66728814,250,150,11,TRUE
292,334923,"[433,433]","[""d"",""f""]",16.66696667,250,150,11,TRUE
293,335932,"[513,538,538]","[""f"",""s"",""d""]",16.66538983,250,150,111,TRUE
294,336940,[463],"[""d""]",16.66725,250,150,10,TRUE
295,337947,"[489,513,513]","[""f"",""a"",""s""]",16.66815254,250,150,1101,TRUE
296,338956,"[602,602,602]","[""a"",""d"",""f""]",16.66689831,250,150,1011,TRUE
297,339957,"[512,536,537]","[""f"",""s"",""d""]",16.66833333,250,150,111,TRUE
298,340964,"[698,698]","[""a"",""d""]",16.66533898,250,150,1010,TRUE
299,341972,"[504,504,527]","[""d"",""f"",""s""]",16.66671186,250,150,111,TRUE
300,342973,"[513,537,537]","[""f"",""a"",""d""]",16.66853333,250,150,1011,TRUE
301,343980,[494],"[""a""]",16.66694915,250,150,1000,TRUE
302,344987,[448],"[""d""]",16.66879661,250,150,10,TRUE
303,345990,"[490,512,961]","[""a"",""d"",""s""]",16.6678,250,150,1110,TRUE
304,346995,"[654,678,678]","[""d"",""s"",""f""]",16.66708475,250,150,111,TRUE
305,348003,[953],"[""a""]",16.6670339,250,150,1101,FALSE
306,349007,"[240,865]","[""s"",""d""]",16.668,250,150,111,FALSE
307,350013,"[29,53]","[""f"",""d""]",16.66683051,250,150,1010,FALSE
308,351019,"[960,983,984]","[""d"",""a"",""f""]",16.66515254,250,150,1011,TRUE
309,352023,[633],"[""s""]",16.66755,250,150,100,TRUE
310,353028,[509],"[""s""]",16.66774576,250,150,100,TRUE
311,354036,[473],"[""d""]",16.66769492,250,150,10,TRUE
312,355040,"[673,673,754]","[""a"",""s"",""d""]",16.66661667,250,150,1110,TRUE
313,356044,"[746,795,899]","[""s"",""d"",""f""]",16.66528814,250,150,111,TRUE
314,357049,"[665,665,665]","[""a"",""d"",""f""]",16.66625424,250,150,1011,TRUE
315,358052,[580],"[""f""]",16.66576271,250,150,1,TRUE
316,359057,[435],"[""d""]",16.66722034,250,150,10,TRUE
317,360058,"[578,643,682]","[""a"",""s"",""d""]",16.667,250,150,1110,TRUE
